P11,P12,P13,P21,P22,P23,P31,P32,P33,P41,P42,P43,R1,R2,R3,R4
-11672556.12,13812387.93,18955417.3,-21038026,1693875.795,16323916.69,-14399588.13,8382825.545,20820024.11,7233835.883,13125784.01,21917081.29,23592681.86,26235358.15,24695573.47,25557987.3
-11673233.2,13809978.05,18956804.72,-21039803.68,1692786.638,16321815.65,-14400006.89,8380247.839,20820831.72,7231513.947,13127317.72,21916945.23,23592934.1,26235873.02,24696007.81,25557534.91
-11673910.44,13807568.03,18958191.73,-21041581.2,1691697.712,16319714.25,-14400425.8,8377670.058,20821638.9,7229192.115,13128851.56,21916808.71,23593187.83,26236386.28,24696439.76,25557078.75
-11674587.84,13805157.87,18959578.31,-21043358.54,1690609.017,16317612.51,-14400844.86,8375092.203,20822445.64,7226870.388,13130385.53,21916671.72,23593441.26,26236900.39,24696875.14,25556625.73
-11675265.39,13802747.57,18960964.48,-21045135.72,1689520.553,16315510.43,-14401264.06,8372514.273,20823251.95,7224548.765,13131919.64,21916534.26,23593694.37,26237412.57,24697307.55,25556171.77
-11675943.1,13800337.14,18962350.24,-21046912.73,1688432.32,16313407.99,-14401683.42,8369936.269,20824057.82,7222227.247,13133453.87,21916396.33,23593949.58,26237929.76,24697741.17,25555717.13
-11676620.96,13797926.57,18963735.57,-21048689.58,1687344.318,16311305.21,-14402102.93,8367358.19,20824863.25,7219905.834,13134988.24,21916257.94,23594202.84,26238443.81,24698174.32,25555261.89
-11677298.98,13795515.86,18965120.49,-21050466.25,1686256.547,16309202.08,-14402522.59,8364780.037,20825668.25,7217584.525,13136522.73,21916119.08,23594456.56,26238957.71,24698606.62,25554810.62
-11677977.16,13793105.01,18966504.99,-21052242.76,1685169.007,16307098.61,-14402942.4,8362201.81,20826472.81,7215263.321,13138057.36,21915979.76,23594710.6,26239471.92,24699040.06,25554355.26
-11678655.49,13790694.03,18967889.08,-21054019.09,1684081.698,16304994.79,-14403362.36,8359623.509,20827276.94,7212942.222,13139592.12,21915839.96,23594963.39,26239987.26,24699475.4,25553900.9
-11679333.98,13788282.9,18969272.74,-21055795.26,1682994.619,16302890.62,-14403782.48,8357045.134,20828080.63,7210621.228,13141127.01,21915699.7,23595217.66,26240499.28,24699908.84,25553449.78
-11680012.62,13785871.65,18970655.99,-21057571.26,1681907.772,16300786.1,-14404202.74,8354466.684,20828883.88,7208300.339,13142662.03,21915558.98,23595473.53,26241015.85,24700340.46,25552995.27
-11680691.42,13783460.25,18972038.82,-21059347.09,1680821.156,16298681.24,-14404623.15,8351888.161,20829686.7,7205979.555,13144197.18,21915417.78,23595728.15,26241529.29,24700774.6,25552541.9
-11681370.37,13781048.71,18973421.23,-21061122.76,1679734.771,16296576.03,-14405043.71,8349309.564,20830489.08,7203658.876,13145732.46,21915276.12,23595981.3,26242040.82,24701209.74,25552087.47
-11682049.49,13778637.04,18974803.23,-21062898.25,1678648.616,16294470.48,-14405464.43,8346730.893,20831291.02,7201338.303,13147267.88,21915133.99,23596237.19,26242556.99,24701642.12,25551634.83
-11682728.75,13776225.23,18976184.81,-21064673.58,1677562.693,16292364.58,-14405885.29,8344152.148,20832092.53,7199017.834,13148803.42,21914991.4,23596490.18,26243070.36,24702077.52,25551181.87
-11683408.18,13773813.29,18977565.97,-21066448.73,1676477,16290258.33,-14406306.31,8341573.33,20832893.6,7196697.471,13150339.1,21914848.34,23596746.18,26243586,24702511.9,25550728.33
-11684087.76,13771401.21,18978946.71,-21068223.72,1675391.538,16288151.74,-14406727.47,8338994.438,20833694.23,7194377.213,13151874.9,21914704.81,23597001.51,26244101.12,24702947.72,25550276.56
-11684767.49,13768988.99,18980327.03,-21069998.54,1674306.308,16286044.8,-14407148.79,8336415.472,20834494.43,7192057.061,13153410.84,21914560.81,23597255.28,26244613.85,24703381.65,25549822.1
-11685447.38,13766576.63,18981706.94,-21071773.18,1673221.308,16283937.51,-14407570.25,8333836.433,20835294.19,7189737.013,13154946.91,21914416.35,23597510.94,26245129.37,24703813.51,25549370.76
-11686127.43,13764164.14,18983086.43,-21073547.66,1672136.539,16281829.88,-14407991.87,8331257.32,20836093.52,7187417.072,13156483.11,21914271.42,23597764.84,26245642.6,24704248.99,25548916.5
-11686805.69,13761753.22,18984470.72,-21075324.08,1671049.114,16279726.23,-14408411.75,8328679.057,20836897.86,7185095.922,13158017.8,21914131.86,23598022.75,26246160.88,24704686.13,25548466.49
-11687482.15,13759343.89,18985859.81,-21077102.44,1669959.033,16277626.57,-14408829.91,8326101.65,20837707.22,7182773.568,13159550.98,21913997.67,23598283.2,26246684.57,24705127.78,25548019.58
-11688158.76,13756934.42,18987248.48,-21078880.63,1668869.183,16275526.57,-14409248.22,8323524.168,20838516.15,7180451.319,13161084.3,21913863.02,23598544.58,26247206.21,24705566.18,25547573.34
-11688835.54,13754524.82,18988636.74,-21080658.65,1667779.564,16273426.21,-14409666.67,8320946.611,20839324.63,7178129.173,13162617.74,21913727.89,23598803.09,26247729.2,24706004.77,25547127.65
-11689512.46,13752115.07,18990024.58,-21082436.5,1666690.175,16271325.52,-14410085.28,8318368.98,20840132.68,7175807.133,13164151.32,21913592.3,23599067.08,26248249.37,24706445.79,25546678.69
-11690189.55,13749705.19,18991412,-21084214.18,1665601.018,16269224.47,-14410504.04,8315791.273,20840940.3,7173485.196,13165685.03,21913456.25,23599327.13,26248772.44,24706887.14,25546233.61
-11690866.79,13747295.17,18992799.01,-21085991.7,1664512.092,16267123.08,-14410922.94,8313213.493,20841747.48,7171163.364,13167218.87,21913319.72,23599588.68,26249293.91,24707326.09,25545784.76
-11691544.18,13744885.01,18994185.6,-21087769.05,1663423.397,16265021.34,-14411342,8310635.637,20842554.22,7168841.637,13168752.84,21913182.73,23599849.93,26249816.23,24707768.48,25545339.05
-11692221.74,13742474.72,18995571.77,-21089546.23,1662334.933,16262919.25,-14411761.21,8308057.707,20843360.53,7166520.014,13170286.94,21913045.27,23600110.84,26250336.62,24708207.88,25544892.4
-11692899.44,13740064.28,18996957.52,-21091323.24,1661246.7,16260816.81,-14412180.57,8305479.703,20844166.4,7164198.496,13171821.18,21912907.35,23600373.87,26250862.01,24708648.51,25544445.06
-11693577.31,13737653.71,18998342.85,-21093100.08,1660158.698,16258714.03,-14412600.08,8302901.625,20844971.83,7161877.083,13173355.54,21912768.96,23600634.94,26251384.27,24709088.66,25543997.14
-11694255.33,13735243,18999727.77,-21094876.75,1659070.927,16256610.9,-14413019.74,8300323.472,20845776.83,7159555.774,13174890.04,21912630.1,23600896.47,26251906.38,24709527.96,25543553.17
-11694933.5,13732832.16,19001112.27,-21096653.26,1657983.387,16254507.43,-14413439.55,8297745.245,20846581.39,7157234.57,13176424.66,21912490.77,23601158.33,26252428.8,24709968.41,25543105.12
